School name,Adress school,ZC school,Bicimad station,Bicimad adress,Distance
Colegio Público Vázquez de Mella,CALLE BAILEN 18,28005,37 - Plaza de San Francisco,Plaza de San Francisco nº 5,144.7707877768594
Colegio Público Winston Churchill,AVENIDA GRAN VIA DEL ESTE 5,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,4390.107730591442
Colegio Público de Practicas Asunción Rincón,AVENIDA FILIPINAS 5,28003,202 - Parque Santander,Calle Santander esquina con Avenida de Filipinas,349.376900516062
Colegio Público Álvaro de Bazan,CALLE ZURICH 10,28022,221 - Pavones,Calle Hacienda de Pavones nº 342,3854.8405971749944
Escuela infantil municipal Agua Dulce,CALLE LEÑEROS 25,28039,237 - Pablo Iglesias,Calle Francisco Balseiro nº 1,329.8103153997358
Escuela infantil municipal Altair,CALLE JOSE DE CADALSO 43,28044,224 - Caramuel,Calle Caramuel nº 51,5656.053381651263
Escuela infantil municipal Amanecer,CALLE TITANIO 7,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,3745.761408467255
Escuela infantil municipal Ana de Austria,CALLE ANA DE AUSTRIA 32,28050,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,3757.4467986469167
Escuela infantil municipal Antonio Mercero,AVENIDA VALLADOLID 49,28008,112 - Paseo de Moret,Paseo de Moret nº 11,867.9492922864433
Escuela infantil municipal Campanilla,CALLE AVILA 4,28020,205 - Estrecho,Calle Navarra nº 1,168.2179545056407
Escuela infantil municipal Cañaveral,CALLE ENRIQUE URQUIJO 56,28052,221 - Pavones,Calle Hacienda de Pavones nº 342,8254.290864837943
Escuela infantil municipal Cielo Azul,BULEVAR INDALECIO PRIETO 16,28032,221 - Pavones,Calle Hacienda de Pavones nº 342,1502.603775090957
Escuela infantil municipal Doña Francisquita,CALLE CAMBADOS 1,28050,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,4418.494579244969
Escuela infantil municipal El Alba,CALLE TOLEDO 181,28005,169 - Pirámides,Calle Toledo nº 181,36.927471536859784
Escuela infantil municipal El Barberillo de Lavapiés,CALLE GRANITO 32,28045,176 - Beata,Calle Alicante nº 3,402.20208074818424
